Git_ID,Repo,Owner,Commit_Date,Full_SHA,Short_SHA,Commit_Message,Milestone_Class,Evidence_Grade,Provenance_Significance,Existing_Ledger_Crosslink,Correction_or_Rejection,Commit_URL,Web_Source_Ref,Selection_Basis,Notes
PBL-G002,primitive_bifurcation_law_VDM,justinlietz93,2026-03-23,723573ac05a817bd5b0b49850347eef176250356,723573a,Delete a_minus_1_programmable_reference.md,CORRECTION/REJECTION,COMMIT-DETAIL-VERIFIED,Publicly records removal of a 410-line programmable-reference artifact during the primitive-bifurcation investigation.,PC-0001,Artifact removed from the repository history; the commit itself does not state the mathematical reason.,https://github.com/justinlietz93/primitive_bifurcation_law_VDM/commit/723573ac05a817bd5b0b49850347eef176250356,turn588175view1,explicit removal / negative provenance,Do not infer a reason beyond the deletion without another source.
PBL-G003,primitive_bifurcation_law_VDM,justinlietz93,2026-03-23,ab558fbba7748a4b2ffb0d6ff2839014a5666fb5,ab558fb,Update Mathematical and Computational Generative Structures and Formulas - Table 1.csv,REFERENCE/CANON,COMMIT-DETAIL-VERIFIED,Updates the structured mathematical/computational reference table used during the primitive-generative investigation.,PC-0001,,https://github.com/justinlietz93/primitive_bifurcation_law_VDM/commit/ab558fbba7748a4b2ffb0d6ff2839014a5666fb5,turn588175view2,structured reference update,"Selected because it changes the mathematical reference surface, not merely repository housekeeping."
TAO-G001,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-06-26,b66f45a7081dd1f2eaa96b83ce04a0b06f6a5b4d,b66f45a,begin phase 5 v8,DERIVATION,COMMIT-DETAIL-VERIFIED,Marks the start of the Phase 5 v8 branch that later accumulates the audited QBL/Orthad results.,PC-0013,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/b66f45a7081dd1f2eaa96b83ce04a0b06f6a5b4d,turn252464view9,new derivation phase,
TAO-G002,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-08,7286d670e2c12ab54ff6c6d07c1ebebf7aecd1ab,7286d67,Add PHASE 5 CANONICAL LEDGER with comprehensive documentation and status tracking,CANON,COMMIT-DETAIL-VERIFIED,"Makes Phase 5 claim status, custody, and canonical tracking explicit inside the Git history.",PC-0013,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/7286d670e2c12ab54ff6c6d07c1ebebf7aecd1ab,turn252464view8,canonization / custody,
TAO-G003,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-09,676ca6330ceaa09255e28c303697d294185a6d7c,676ca63,Added Phase 5 v8d orthad generated fqm subclass,ORTHAD,COMMIT-DETAIL-VERIFIED,Public commit milestone showing Orthad-generated FQM structure entering the Phase 5 investigation.,PC-0012;PC-0013,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/676ca6330ceaa09255e28c303697d294185a6d7c,turn252464view7,Orthad structural development,
TAO-G004,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-10,1be580904fb6e66b8cf09bb2415ea9bedda3d9d6,1be5809,Add verification script and update sealed JSON files for Phase 5,VERIFICATION,COMMIT-DETAIL-VERIFIED,"Adds executable verification while updating sealed evidence artifacts, strengthening reproducibility and custody.",PC-0013,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/1be580904fb6e66b8cf09bb2415ea9bedda3d9d6,turn252464view6,verification + sealed evidence,
TAO-G005,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-10,d0dd6d2e5fa228a8c57f8decffe45e6a116ec1a1,d0dd6d2,Add new source files and data for Phase 5 v8m external audit and core radical purity diagnosis,AUDIT,COMMIT-DETAIL-VERIFIED,Creates an explicit external-audit and diagnostic evidence layer inside the derivation branch.,PC-0013,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/d0dd6d2e5fa228a8c57f8decffe45e6a116ec1a1,turn252464view5,external audit / diagnosis,
TAO-G006,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-11,1c3ce406daeeeb8b2af1e39ee5dd5cdcad3361c8,1c3ce40,Add QBL Prime-Pattern Watch package with scanner and documentation,EXPERIMENT,COMMIT-DETAIL-VERIFIED,Adds a dedicated QBL scanning/watch package as a falsifiable empirical instrument rather than a prose-only observation.,PC-0013,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/1c3ce406daeeeb8b2af1e39ee5dd5cdcad3361c8,turn839169view1,instrument / observational test,
TAO-G007,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-11,e2d4353cefcf373d3613292c98001030944640c4,e2d4353,Recurrent grammar emergence,DERIVATION,COMMIT-DETAIL-VERIFIED,"A high-value Phase 5 milestone: the commit contains recurrent-grammar derivation artifacts, QBL carry-J work, audits, formal proofs, and negative-control material.",PC-0013;PC-0018,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/e2d4353cefcf373d3613292c98001030944640c4,turn839169view0,derivation closure / recurrent grammar,
TAO-G008,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-11,0c48cc1f76cd101fd63032ad0c1a331932e511e2,0c48cc1,Add scripts for threshold derivation and package verification,VERIFICATION,COMMIT-DETAIL-VERIFIED,Makes threshold derivation executable and pairs it with package verification.,PC-0018,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/0c48cc1f76cd101fd63032ad0c1a331932e511e2,turn252464view3,threshold derivation + verification,
TAO-G009,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-11,faf3d7709ac2322d4f316e224ad750929c34646d,faf3d77,Add trace logs for factor derivation and induction proof,PROOF-TRACE,COMMIT-DETAIL-VERIFIED,"Preserves factor derivation and induction proof as trace logs, providing fine-grained proof provenance rather than only terminal theorem statements.",PC-0018,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/faf3d7709ac2322d4f316e224ad750929c34646d,turn252464view2,proof trace / induction,
TAO-G010,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-11,9f2ccdf22abccbacd6fbacf6a545118bbbe06826,9f2ccdf,working through the orthad pairing,ORTHAD,COMMIT-DETAIL-VERIFIED,Publicly timestamps active work on the Orthad pairing recurrence rather than presenting the final recurrence as having appeared fully formed.,PC-0012;PC-0013,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/9f2ccdf22abccbacd6fbacf6a545118bbbe06826,turn252464view1,Orthad recurrence development,
TAO-G011,Taoism-Mathematics-Research-Project-Internal,justinlietz93,2026-07-12,39e096442aeee8e0d6776dcde01bc46f681bf34c,39e0964,updated canon documents and extracting findings from sprawling repo,CANON/AUDIT,COMMIT-DETAIL-VERIFIED,"Consolidates canon and extracted findings after the intensive Phase 5 derivation sequence; the commit contains canonical ledgers, custody documents, retained-state boundary material, formal artifacts, falsification outputs, and negative controls.",PC-0013;PC-0018,,https://github.com/justinlietz93/Taoism-Mathematics-Research-Project-Internal/commit/39e096442aeee8e0d6776dcde01bc46f681bf34c,turn252464view0,canon consolidation / evidence extraction,
CTX-G001,cortex-engine,Neuroca-Inc,2026-07-12,31f9f8d5ac204d07095fbbf27cbe9d3cfde2216e,31f9f8d,first commit,BASELINE,COMMIT-DETAIL-VERIFIED,Public baseline for the Cortex implementation repository.,PC-0014,,https://github.com/Neuroca-Inc/cortex-engine/commit/31f9f8d5ac204d07095fbbf27cbe9d3cfde2216e,turn130432view0,repository baseline,
CTX-G002,cortex-engine,Neuroca-Inc,2026-07-13,bcc358ebebe9ed4731f9b6b3fd7599681c60853e,bcc358e,CP11,IMPLEMENTATION,COMMIT-DETAIL-VERIFIED,Marks the CP11 implementation checkpoint in the compressed Cortex public history.,PC-0014,,https://github.com/Neuroca-Inc/cortex-engine/commit/bcc358ebebe9ed4731f9b6b3fd7599681c60853e,turn130432view1,implementation checkpoint,
CTX-G003,cortex-engine,Neuroca-Inc,2026-07-13,82e0856447fd39085f986d9c634a1c2a5712259d,82e0856,CP20,IMPLEMENTATION,COMMIT-DETAIL-VERIFIED,"Marks the CP20 implementation checkpoint, the substrate boundary referenced by the project chronology.",PC-0014,,https://github.com/Neuroca-Inc/cortex-engine/commit/82e0856447fd39085f986d9c634a1c2a5712259d,turn130432view2,implementation boundary,
CTX-G004,cortex-engine,Neuroca-Inc,2026-07-13,169dbe7e1b53c2aff6851efc59f862ded14558f2,169dbe7,CP20 Retrospective complete,BOUNDARY/AUDIT,COMMIT-DETAIL-VERIFIED,"Strong boundary provenance: the retrospective package includes decision-status material, an explicit rejected RST-scheduled Xi coupling ADR, an Xi integration blocker, evidence logs, and SHA manifests.",PC-0015,Explicit rejection artifact: ADR 0024 rejects RST-scheduled Xi coupling; Xi integration blocker is retained rather than silently bypassed.,https://github.com/Neuroca-Inc/cortex-engine/commit/169dbe7e1b53c2aff6851efc59f862ded14558f2,turn130432view3;turn779565view0,explicit boundary + rejected model,
CTX-G005,cortex-engine,Neuroca-Inc,2026-07-18,0234de28c4ee346a34abad4379da0e35ea96531d,0234de2,began implementation of the orthad and lifted object,IMPLEMENTATION,COMMIT-DETAIL-VERIFIED,Publicly timestamps the transition from the CP20 substrate into explicit Orthad and lifted-object implementation.,PC-0014;PC-0017,,https://github.com/Neuroca-Inc/cortex-engine/commit/0234de28c4ee346a34abad4379da0e35ea96531d,turn130432view4,Orthad / lifted-object implementation,
CTX-G006,cortex-engine,Neuroca-Inc,2026-07-20,,7ea9d91,began emergent physics work,APPLICATION,HISTORY-VERIFIED,Marks the beginning of the emergent-physics branch after the Orthad/lifted-object implementation transition.,PC-0014,,https://github.com/Neuroca-Inc/cortex-engine/commit/7ea9d91,turn235083view1,new downstream application,Full commit page exceeded browser fetch limit during this pass; short SHA and history entry are verified.
CTX-G007,cortex-engine,Neuroca-Inc,2026-07-20,4a2029139f8cdf91d64c26b63c4a3b3136a6bde6,4a20291,running tests and checks for emergent physics in the cortex engine,VERIFICATION,COMMIT-DETAIL-VERIFIED,Shows testing/checking immediately following the start of the emergent-physics branch.,PC-0014,,https://github.com/Neuroca-Inc/cortex-engine/commit/4a2029139f8cdf91d64c26b63c4a3b3136a6bde6,turn130432view6,downstream verification,
CTX-G008,cortex-engine,Neuroca-Inc,2026-07-21,,21c4670,logged emergent hydrogen,OBSERVATION,HISTORY-VERIFIED,Public history records an emergent-hydrogen observation as a downstream experimental milestone.,PC-0014,,https://github.com/Neuroca-Inc/cortex-engine/commit/21c4670,turn235083view1,experimental observation,Short SHA/history entry verified; commit page exceeded browser fetch limit.
CTX-G009,cortex-engine,Neuroca-Inc,2026-08-26,,1bd9ad1,"added emergent dynamics observations and updated lifted object walkthrough, plus added a cortex retained baseline document",CANON/BASELINE,HISTORY-VERIFIED,"Joins emergent-dynamics observations, an updated Lifted Object walkthrough, and a retained Cortex baseline in one later custody milestone.",PC-0017,,https://github.com/Neuroca-Inc/cortex-engine/commit/1bd9ad1,turn235083view1,retained baseline + walkthrough update,Short SHA/history entry verified; commit page exceeded browser fetch limit.
RT-G001,vdm_rt,Neuroca-Inc,2026-06-22,827f8261f94d298c08debd53959952af9d240393,827f826,Initial commit,BASELINE,COMMIT-DETAIL-VERIFIED,Public baseline for the rebooted vdm_rt repository.,,,https://github.com/Neuroca-Inc/vdm_rt/commit/827f8261f94d298c08debd53959952af9d240393,turn183979view0,repository baseline,
RT-G002,vdm_rt,Neuroca-Inc,2026-06-22,87c394c486107cca26563865eee9f99ede3bcfae,87c394c,Add comprehensive roadmap docs for runtime reboot,ROADMAP,COMMIT-DETAIL-VERIFIED,Makes the runtime reboot plan explicit in repository history at inception.,,,https://github.com/Neuroca-Inc/vdm_rt/commit/87c394c486107cca26563865eee9f99ede3bcfae,turn183979view1,explicit reboot roadmap,
RT-G003,vdm_rt,Neuroca-Inc,2026-06-22,2a6bddf72cdd33490d691331f523738c9e5dd872,2a6bddf,Remove dense/sparse mode flags and update docs,CORRECTION/REJECTION,COMMIT-DETAIL-VERIFIED,Records removal of a runtime mode distinction during the reboot rather than preserving dead compatibility structure.,,Dense/sparse mode flags removed.,https://github.com/Neuroca-Inc/vdm_rt/commit/2a6bddf72cdd33490d691331f523738c9e5dd872,turn183979view2,architecture simplification / removal,
RT-G004,vdm_rt,Neuroca-Inc,2026-06-22,fff151080e2fc0a05726f14bb92713e97256d750,fff1510,Implement reboot cleanup policy / legacy substrate findings,CORRECTION/REJECTION,COMMIT-DETAIL-VERIFIED,Makes cleanup policy and legacy-substrate findings explicit in the new runtime lineage.,,Legacy substrate is treated as something to audit/clean rather than silently inherit.,https://github.com/Neuroca-Inc/vdm_rt/commit/fff151080e2fc0a05726f14bb92713e97256d750,turn183979view3,legacy cleanup / authority reset,
RT-G005,vdm_rt,Neuroca-Inc,2026-06-26,165c5419eb23ad03df1325c7561e17555941e750,165c541,added regression test,VERIFICATION,COMMIT-DETAIL-VERIFIED,Adds a regression gate before the next major cleanup/experimental sequence.,,,https://github.com/Neuroca-Inc/vdm_rt/commit/165c5419eb23ad03df1325c7561e17555941e750,turn183979view4,regression verification,
RT-G006,vdm_rt,Neuroca-Inc,2026-06-27,0057fdcb670ca7a9611522983a18e5d293237914,0057fdc,"continued cleanup, removal of broken UTD/UTE system",CORRECTION/REJECTION,COMMIT-DETAIL-VERIFIED,High-value negative provenance: the history explicitly calls the UTD/UTE system broken and records its removal.,,Broken UTD/UTE system removed.,https://github.com/Neuroca-Inc/vdm_rt/commit/0057fdcb670ca7a9611522983a18e5d293237914,turn183979view5,explicit rejected subsystem,
RT-G007,vdm_rt,Neuroca-Inc,2026-06-27,a77092e45bbb0f85ff496a68d15f615880a7c83f,a77092e,added experiment testing outcomes,EXPERIMENT,COMMIT-DETAIL-VERIFIED,Preserves experiment outcomes immediately after the cleanup step.,,,https://github.com/Neuroca-Inc/vdm_rt/commit/a77092e45bbb0f85ff496a68d15f615880a7c83f,turn183979view6,experimental outcomes,
RT-G008,vdm_rt,Neuroca-Inc,2026-06-27,f60ef5cff839c9db32a626663f91f97f5a8dfbf4,f60ef5c,recreated 02 experiment. Decompressed check passed:,VERIFICATION,COMMIT-DETAIL-VERIFIED,Records recreation of the 02 experiment and an explicit decompressed-check pass.,,,https://github.com/Neuroca-Inc/vdm_rt/commit/f60ef5cff839c9db32a626663f91f97f5a8dfbf4,turn183979view7,reproduction + pass gate,
RT-G009,vdm_rt,Neuroca-Inc,2026-06-27,aa2434069b7bd8f50a6c191de6bf02f473f8e56e,aa24340,Replaced the separate UTE/UTD log surfaces with a shared compressed sensorimotor boundary log,ARCHITECTURE,COMMIT-DETAIL-VERIFIED,"After rejecting the broken UTD/UTE system, the runtime replaces separate surfaces with a shared compressed sensorimotor boundary.",,Supersedes separate UTE/UTD log surfaces.,https://github.com/Neuroca-Inc/vdm_rt/commit/aa2434069b7bd8f50a6c191de6bf02f473f8e56e,turn183979view8,replacement architecture,
RT-G010,vdm_rt,Neuroca-Inc,2026-06-27,c023f5b2aa3c3786f40b1d27da48d0e8db2d71d8,c023f5b,wired the live runtime path to the motor trace boundary without restoring text decoding,IMPLEMENTATION,COMMIT-DETAIL-VERIFIED,Closes the correction chain by wiring the live path to the new boundary while explicitly not restoring the discarded text-decoding route.,,Text decoding remains intentionally absent.,https://github.com/Neuroca-Inc/vdm_rt/commit/c023f5b2aa3c3786f40b1d27da48d0e8db2d71d8,turn183979view9,live-path integration after correction,
