Evidence_ID,Evidence_Class,Event_Date,Title_or_Event,Identifier,Source,Status,Hash_or_SHA,URL_or_Path,Related_Entry,Index_Surface
PUB-0011,PUBLIC_RELEASE,2025-11-04,Counterfactual Echo Gain (CEG): A Metriplectic Assisted-Echo Experiment Proposal in VDM,10.5281/zenodo.17525916,zenodo,PUBLIC,,https://zenodo.org/records/17525916,,public/reach/public-release-timeline.csv
PUB-0012,PUBLIC_RELEASE,2025-11-10,Counterfactual Echo Gain (CEG): Future-Aware Metriplectic Assistance Yields Gate-Certified Echo Improvement,10.5281/zenodo.17567396,zenodo,PUBLIC,,https://zenodo.org/records/17567396,,public/reach/public-release-timeline.csv
PUB-0013,PUBLIC_RELEASE,2025-11-24,Packaged Release - VDM Unification Roadmap: From Quantum Waves to Cosmology,10.5281/zenodo.17701735,zenodo,PUBLIC,,https://zenodo.org/records/17701735,,public/reach/public-release-timeline.csv
PUB-0014,PUBLIC_RELEASE,2025-11-24,Packaged Release - VDM Unification Roadmap: From Quantum Waves to Cosmology,10.5281/zenodo.17697113,zenodo,PUBLIC,,https://zenodo.org/records/17697113,,public/reach/public-release-timeline.csv
PUB-0015,PUBLIC_RELEASE,2025-12-09,"Dynamic, self managing biology-like memory layer for LLMs. Give your agent the ability to remember and forget in three s",Neuroca-Inc/_Neuroca,github,PUBLIC,,https://github.com/Neuroca-Inc/_Neuroca,,public/reach/public-release-timeline.csv
PUB-0016,PUBLIC_RELEASE,2026-02-11,Data Analysis on Early Run Logs of The Void Dynamics Model Runtime,10.5281/zenodo.18607800,zenodo,PUBLIC,,https://zenodo.org/records/18607800,,public/reach/public-release-timeline.csv
PUB-0017,PUBLIC_RELEASE,2026-02-17,CF01: Complete Formalism - Quantum Geometric Tensor to Metriplectic Brackets,10.5281/zenodo.18675122,zenodo,PUBLIC,,https://zenodo.org/records/18675122,,public/reach/public-release-timeline.csv
PUB-0018,PUBLIC_RELEASE,2026-02-17,CF02: Contact to Metriplectic Evolution,10.5281/zenodo.18675169,zenodo,PUBLIC,,https://zenodo.org/records/18675169,,public/reach/public-release-timeline.csv
PUB-0019,PUBLIC_RELEASE,2026-02-17,CF03: Complete Formalism — A8 Scaling Theorem (Hierarchical Tachyonic Interfaces),10.5281/zenodo.18675407,zenodo,PUBLIC,,https://zenodo.org/records/18675407,,public/reach/public-release-timeline.csv
PUB-0020,PUBLIC_RELEASE,2026-02-17,CF03: Complete Formalism — A8 Scaling Theorem (Hierarchical Tachyonic Interfaces),10.5281/zenodo.18675227,zenodo,PUBLIC,,https://zenodo.org/records/18675227,,public/reach/public-release-timeline.csv
PUB-0021,PUBLIC_RELEASE,2026-02-17,CF04: Complete Formalism — Telegraph-Fisher Causality (Finite-Speed Transport),10.5281/zenodo.18675565,zenodo,PUBLIC,,https://zenodo.org/records/18675565,,public/reach/public-release-timeline.csv
PUB-0022,PUBLIC_RELEASE,2026-02-17,CF04: Complete Formalism — Telegraph-Fisher Causality (Finite-Speed Transport),10.5281/zenodo.18675381,zenodo,PUBLIC,,https://zenodo.org/records/18675381,,public/reach/public-release-timeline.csv
PUB-0023,PUBLIC_RELEASE,2026-02-17,CF04: Complete Formalism — Telegraph-Fisher Causality (Finite-Speed Transport),10.5281/zenodo.18675239,zenodo,PUBLIC,,https://zenodo.org/records/18675239,,public/reach/public-release-timeline.csv
PUB-0024,PUBLIC_RELEASE,2026-02-17,CF05: Complete Formalism — Integrability Closure (No Hidden Conserved Quantities),10.5281/zenodo.18675786,zenodo,PUBLIC,,https://zenodo.org/records/18675786,,public/reach/public-release-timeline.csv
PUB-0025,PUBLIC_RELEASE,2026-02-17,CF05: Complete Formalism — Integrability Closure (No Hidden Conserved Quantities),10.5281/zenodo.18675256,zenodo,PUBLIC,,https://zenodo.org/records/18675256,,public/reach/public-release-timeline.csv
PUB-0026,PUBLIC_RELEASE,2026-02-17,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for VDM M-Limb,10.5281/zenodo.18675861,zenodo,PUBLIC,,https://zenodo.org/records/18675861,,public/reach/public-release-timeline.csv
PUB-0027,PUBLIC_RELEASE,2026-02-17,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for VDM M-Limb,10.5281/zenodo.18675267,zenodo,PUBLIC,,https://zenodo.org/records/18675267,,public/reach/public-release-timeline.csv
PUB-0028,PUBLIC_RELEASE,2026-02-17,CF07: Measurement Theory Foundations — Decoherence and Born Rule for VDM,10.5281/zenodo.18676091,zenodo,PUBLIC,,https://zenodo.org/records/18676091,,public/reach/public-release-timeline.csv
PUB-0029,PUBLIC_RELEASE,2026-02-17,CF07: Measurement Theory Foundations — Decoherence and Born Rule for VDM,10.5281/zenodo.18675276,zenodo,PUBLIC,,https://zenodo.org/records/18675276,,public/reach/public-release-timeline.csv
PUB-0030,PUBLIC_RELEASE,2026-02-17,CF08: Complete Formalism — Spinor Emergence via Domain-Wall Fermions in VDM,10.5281/zenodo.18675290,zenodo,PUBLIC,,https://zenodo.org/records/18675290,,public/reach/public-release-timeline.csv
PUB-0031,PUBLIC_RELEASE,2026-02-17,CF08: Spinor Emergence via Domain-Wall Fermions in VDM,10.5281/zenodo.18676137,zenodo,PUBLIC,,https://zenodo.org/records/18676137,,public/reach/public-release-timeline.csv
PUB-0032,PUBLIC_RELEASE,2026-02-17,CF09: Complete Formalism — Gauge Field Emergence via Berry Connection in VDM,10.5281/zenodo.18675301,zenodo,PUBLIC,,https://zenodo.org/records/18675301,,public/reach/public-release-timeline.csv
PUB-0033,PUBLIC_RELEASE,2026-02-17,CF09: Gauge Field Emergence via Berry Connection in VDM,10.5281/zenodo.18676231,zenodo,PUBLIC,,https://zenodo.org/records/18676231,,public/reach/public-release-timeline.csv
PUB-0034,PUBLIC_RELEASE,2026-02-17,"CF10: Complete Formalism — VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",10.5281/zenodo.18675311,zenodo,PUBLIC,,https://zenodo.org/records/18675311,,public/reach/public-release-timeline.csv
PUB-0035,PUBLIC_RELEASE,2026-02-17,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",10.5281/zenodo.18676423,zenodo,PUBLIC,,https://zenodo.org/records/18676423,,public/reach/public-release-timeline.csv
PUB-0036,PUBLIC_RELEASE,2026-02-17,CF11: Dark Sector Emergence from Metriplectic Dynamics,10.5281/zenodo.18676468,zenodo,PUBLIC,,https://zenodo.org/records/18676468,,public/reach/public-release-timeline.csv
PUB-0037,PUBLIC_RELEASE,2026-02-17,CF11: Dark Sector Emergence from Metriplectic Dynamics,10.5281/zenodo.18675323,zenodo,PUBLIC,,https://zenodo.org/records/18675323,,public/reach/public-release-timeline.csv
PUB-0038,PUBLIC_RELEASE,2026-02-19,Four Independent Complex-Adaptive Signatures From A Structurally-Plastic Connectome Run,10.5281/zenodo.18706821,zenodo,PUBLIC,,https://zenodo.org/records/18706821,,public/reach/public-release-timeline.csv
PUB-0039,PUBLIC_RELEASE,2026-02-19,Predictive Feature Architectures For Self-Supervised Say-Events in VDM,10.5281/zenodo.19564798,zenodo,PUBLIC,,https://zenodo.org/records/19564798,,public/reach/public-release-timeline.csv
PUB-0040,PUBLIC_RELEASE,2026-02-19,VDM Runtime Results: Four Offline Proofs From A Structurally-Plastic Connectome Run,10.5281/zenodo.18702788,zenodo,PUBLIC,,https://zenodo.org/records/18702788,,public/reach/public-release-timeline.csv
PUB-0041,PUBLIC_RELEASE,2026-02-20,Four Independent Complex-Adaptive Signatures From A Structurally-Plastic Connectome Run,10.5281/zenodo.19570959,zenodo,PUBLIC,,https://zenodo.org/records/19570959,,public/reach/public-release-timeline.csv
PUB-0042,PUBLIC_RELEASE,2026-02-20,Predictive Feature Architectures For Self-Supervised Say-Events in VDM,10.5281/zenodo.18707220,zenodo,PUBLIC,,https://zenodo.org/records/18707220,,public/reach/public-release-timeline.csv
PUB-0043,PUBLIC_RELEASE,2026-02-21,Causal Density Dynamics and Markov Entropy in Artificial Cognition,10.5281/zenodo.19570286,zenodo,PUBLIC,,https://zenodo.org/records/19570286,,public/reach/public-release-timeline.csv
PUB-0044,PUBLIC_RELEASE,2026-02-21,Causal Density Dynamics and Markov Entropy in Artificial Cognition,10.5281/zenodo.18726601,zenodo,PUBLIC,,https://zenodo.org/records/18726601,,public/reach/public-release-timeline.csv
PUB-0045,PUBLIC_RELEASE,2026-02-21,Complexity Metric Dashboards for Artificial Consciousness: A Multi-Measure Instrument for Real-Time Cognitive Runtimes,10.5281/zenodo.19567985,zenodo,PUBLIC,,https://zenodo.org/records/19567985,,public/reach/public-release-timeline.csv
PUB-0046,PUBLIC_RELEASE,2026-02-21,Complexity Metric Dashboards for Artificial Consciousness: A Multi-Measure Instrument for Real-Time Cognitive Runtimes,10.5281/zenodo.18724646,zenodo,PUBLIC,,https://zenodo.org/records/18724646,,public/reach/public-release-timeline.csv
PUB-0047,PUBLIC_RELEASE,2026-02-21,Dynamic Phase-Space Signatures and Principal-Component Shifts Across Cognitive Regimes in a Zero-Training Runtime,10.5281/zenodo.19567850,zenodo,PUBLIC,,https://zenodo.org/records/19567850,,public/reach/public-release-timeline.csv
PUB-0048,PUBLIC_RELEASE,2026-02-21,Dynamic Phase-Space Signatures and Principal-Component Shifts Across Cognitive Regimes in a Zero-Training Runtime,10.5281/zenodo.18723892,zenodo,PUBLIC,,https://zenodo.org/records/18723892,,public/reach/public-release-timeline.csv
PUB-0049,PUBLIC_RELEASE,2026-02-21,Emergent Criticality and Avalanche Scaling in Non-Trained Cognitive Firing Patterns,10.5281/zenodo.19568270,zenodo,PUBLIC,,https://zenodo.org/records/19568270,,public/reach/public-release-timeline.csv
PUB-0050,PUBLIC_RELEASE,2026-02-21,Emergent Criticality and Avalanche Scaling in Non-Trained Cognitive Firing Patterns,10.5281/zenodo.18725612,zenodo,PUBLIC,,https://zenodo.org/records/18725612,,public/reach/public-release-timeline.csv
PUB-0051,PUBLIC_RELEASE,2026-02-21,"Integration–Segregation Balance in Zero-Training Cognitive Regimes: Total Correlation, O-information, and MIP Structure",10.5281/zenodo.19569960,zenodo,PUBLIC,,https://zenodo.org/records/19569960,,public/reach/public-release-timeline.csv
PUB-0052,PUBLIC_RELEASE,2026-02-21,"Integration–Segregation Balance in Zero-Training Cognitive Regimes: Total Correlation, O-information, and MIP Structure",10.5281/zenodo.18725951,zenodo,PUBLIC,,https://zenodo.org/records/18725951,,public/reach/public-release-timeline.csv
PUB-0053,PUBLIC_RELEASE,2026-02-21,Phase Transitions and Metastable Regimes in Real-Time Cognitive Connectomes,10.5281/zenodo.19576940,zenodo,PUBLIC,,https://zenodo.org/records/19576940,,public/reach/public-release-timeline.csv
PUB-0054,PUBLIC_RELEASE,2026-02-21,Phase Transitions and Metastable Regimes in Real-Time Cognitive Connectomes,10.5281/zenodo.18726328,zenodo,PUBLIC,,https://zenodo.org/records/18726328,,public/reach/public-release-timeline.csv
PUB-0055,PUBLIC_RELEASE,2026-02-23,Aura - Embodied VDM,10.5281/zenodo.18749264,zenodo,PUBLIC,,https://zenodo.org/records/18749264,,public/reach/public-release-timeline.csv
PUB-0056,PUBLIC_RELEASE,2026-03-06,VDM Cosmogenesis Runtime (v9),10.5281/zenodo.18895523,zenodo,PUBLIC,,https://zenodo.org/records/18895523,,public/reach/public-release-timeline.csv
PUB-0057,PUBLIC_RELEASE,2026-03-07,Void Lensing Cross-Correlation Meter v1: Synthetic Mocks Calibration and Mocks-Grid Tuning,10.5281/zenodo.18897151,zenodo,PUBLIC,,https://zenodo.org/records/18897151,,public/reach/public-release-timeline.csv
PUB-0058,PUBLIC_RELEASE,2026-03-13,"H000: Primitive Bifurcation As A Minimal Generative Origin For Distinguishability, Hierarchy, And Carrier Emergence",10.5281/zenodo.19009927,zenodo,PUBLIC,,https://zenodo.org/records/19009927,,public/reach/public-release-timeline.csv
PUB-0059,PUBLIC_RELEASE,2026-03-14,Branch Relative Origin Resolution,10.5281/zenodo.19010844,zenodo,PUBLIC,,https://zenodo.org/records/19010844,,public/reach/public-release-timeline.csv
PUB-0060,PUBLIC_RELEASE,2026-03-16,DRAFT Convergent Anomalous Signatures in an Emergent Zero-Trained Cognitive Runtime,10.5281/zenodo.19043188,zenodo,PUBLIC,,https://zenodo.org/records/19043188,,public/reach/public-release-timeline.csv
PUB-0061,PUBLIC_RELEASE,2026-03-18,CF000: Primitive Distinguishability and Orthogonal Articulation,10.5281/zenodo.19644143,zenodo,PUBLIC,,https://zenodo.org/records/19644143,,public/reach/public-release-timeline.csv
PUB-0062,PUBLIC_RELEASE,2026-03-18,CF000: Primitive Distinguishability and Orthogonal Articulation,10.5281/zenodo.19098778,zenodo,PUBLIC,,https://zenodo.org/records/19098778,,public/reach/public-release-timeline.csv
PUB-0063,PUBLIC_RELEASE,2026-03-18,CF01: Complete Formalism - Quantum Geometric Tensor to Metriplectic Brackets,10.5281/zenodo.19102730,zenodo,PUBLIC,,https://zenodo.org/records/19102730,,public/reach/public-release-timeline.csv
PUB-0064,PUBLIC_RELEASE,2026-03-18,Induced Geometry and Emergent Dynamics,10.5281/zenodo.19099916,zenodo,PUBLIC,,https://zenodo.org/records/19099916,,public/reach/public-release-timeline.csv
PUB-0065,PUBLIC_RELEASE,2026-03-18,Primitive Distinguishability and the Origin of Differentiability,10.5281/zenodo.19097453,zenodo,PUBLIC,,https://zenodo.org/records/19097453,,public/reach/public-release-timeline.csv
PUB-0066,PUBLIC_RELEASE,2026-03-18,Primitive Distinguishability and the Origin of Differentiability,10.5281/zenodo.19097305,zenodo,PUBLIC,,https://zenodo.org/records/19097305,,public/reach/public-release-timeline.csv
PUB-0067,PUBLIC_RELEASE,2026-03-19,CF00: Induced Geometry and Emergent Dynamics,10.5281/zenodo.19124587,zenodo,PUBLIC,,https://zenodo.org/records/19124587,,public/reach/public-release-timeline.csv
PUB-0068,PUBLIC_RELEASE,2026-03-19,CF00: Induced Geometry and Emergent Dynamics,10.5281/zenodo.19120806,zenodo,PUBLIC,,https://zenodo.org/records/19120806,,public/reach/public-release-timeline.csv
PUB-0069,PUBLIC_RELEASE,2026-03-19,CF08: Spinor Emergence via Domain-Wall Fermions,10.5281/zenodo.19124751,zenodo,PUBLIC,,https://zenodo.org/records/19124751,,public/reach/public-release-timeline.csv
PUB-0070,PUBLIC_RELEASE,2026-03-19,CF08: Spinor Emergence via Domain-Wall Fermions,10.5281/zenodo.19122763,zenodo,PUBLIC,,https://zenodo.org/records/19122763,,public/reach/public-release-timeline.csv
PUB-0071,PUBLIC_RELEASE,2026-03-19,"CF12: Gravity, Black Holes, and Saturation Geometry",10.5281/zenodo.19103452,zenodo,PUBLIC,,https://zenodo.org/records/19103452,,public/reach/public-release-timeline.csv
PUB-0072,PUBLIC_RELEASE,2026-03-19,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",10.5281/zenodo.19124533,zenodo,PUBLIC,,https://zenodo.org/records/19124533,,public/reach/public-release-timeline.csv
PUB-0073,PUBLIC_RELEASE,2026-03-19,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",10.5281/zenodo.19121368,zenodo,PUBLIC,,https://zenodo.org/records/19121368,,public/reach/public-release-timeline.csv
PUB-0074,PUBLIC_RELEASE,2026-03-19,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",10.5281/zenodo.19121111,zenodo,PUBLIC,,https://zenodo.org/records/19121111,,public/reach/public-release-timeline.csv
PUB-0075,PUBLIC_RELEASE,2026-03-19,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",10.5281/zenodo.19120322,zenodo,PUBLIC,,https://zenodo.org/records/19120322,,public/reach/public-release-timeline.csv
PUB-0076,PUBLIC_RELEASE,2026-03-19,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,10.5281/zenodo.19129390,zenodo,PUBLIC,,https://zenodo.org/records/19129390,,public/reach/public-release-timeline.csv
PUB-0077,PUBLIC_RELEASE,2026-03-20,CF14: Principle of Stationary Action as Temporal Effective Invariant,10.5281/zenodo.19133897,zenodo,PUBLIC,,https://zenodo.org/records/19133897,,public/reach/public-release-timeline.csv
PUB-0078,PUBLIC_RELEASE,2026-03-20,CF15: Noether's Theorem as Invariant Articulation Cost,10.5281/zenodo.19139375,zenodo,PUBLIC,,https://zenodo.org/records/19139375,,public/reach/public-release-timeline.csv
PUB-0079,PUBLIC_RELEASE,2026-03-20,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,10.5281/zenodo.19130313,zenodo,PUBLIC,,https://zenodo.org/records/19130313,,public/reach/public-release-timeline.csv
PUB-0080,PUBLIC_RELEASE,2026-03-20,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,10.5281/zenodo.19130228,zenodo,PUBLIC,,https://zenodo.org/records/19130228,,public/reach/public-release-timeline.csv
PUB-0081,PUBLIC_RELEASE,2026-03-20,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,10.5281/zenodo.19128685,zenodo,PUBLIC,,https://zenodo.org/records/19128685,,public/reach/public-release-timeline.csv
PUB-0082,PUBLIC_RELEASE,2026-03-21,"CF16: Electroweak Fiber Splitting, Chiral Weak Coupling, Neutral Gauge Mixing, and Broken Gauge-Scalar Structure",10.5281/zenodo.19153908,zenodo,PUBLIC,,https://zenodo.org/records/19153908,,public/reach/public-release-timeline.csv
PUB-0083,PUBLIC_RELEASE,2026-03-21,"CF17: Non-Abelian Saturation, Flux-Tube Formation, Quantitative Confinement, String Breaking, and Deconfinement",10.5281/zenodo.19154343,zenodo,PUBLIC,,https://zenodo.org/records/19154343,,public/reach/public-release-timeline.csv
PUB-0084,PUBLIC_RELEASE,2026-03-21,"CF18: Scale Re-Articulation, Effective Action, Hidden-Return Corrections, Running Couplings, Renormalization, and Corrected Symmetry Structure",10.5281/zenodo.19154453,zenodo,PUBLIC,,https://zenodo.org/records/19154453,,public/reach/public-release-timeline.csv
PUB-0085,PUBLIC_RELEASE,2026-03-22,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for the M-Limb,10.5281/zenodo.19164028,zenodo,PUBLIC,,https://zenodo.org/records/19164028,,public/reach/public-release-timeline.csv
PUB-0086,PUBLIC_RELEASE,2026-03-22,CF07: Measurement Theory Foundations - Decoherence and Born Rule Emergence,10.5281/zenodo.19163944,zenodo,PUBLIC,,https://zenodo.org/records/19163944,,public/reach/public-release-timeline.csv
PUB-0087,PUBLIC_RELEASE,2026-03-22,CF08: Spinor Emergence via Domain-Wall Fermions (Nielsen-Ninomiya Defense),10.5281/zenodo.19163918,zenodo,PUBLIC,,https://zenodo.org/records/19163918,,public/reach/public-release-timeline.csv
PUB-0088,PUBLIC_RELEASE,2026-03-22,CF09: Gauge Field Emergence via Berry Connection (Weinberg-Witten Defense),10.5281/zenodo.19163873,zenodo,PUBLIC,,https://zenodo.org/records/19163873,,public/reach/public-release-timeline.csv
PUB-0089,PUBLIC_RELEASE,2026-03-22,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",10.5281/zenodo.19806286,zenodo,PUBLIC,,https://zenodo.org/records/19806286,,public/reach/public-release-timeline.csv
PUB-0090,PUBLIC_RELEASE,2026-03-22,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",10.5281/zenodo.19804479,zenodo,PUBLIC,,https://zenodo.org/records/19804479,,public/reach/public-release-timeline.csv
PUB-0091,PUBLIC_RELEASE,2026-03-22,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",10.5281/zenodo.19163509,zenodo,PUBLIC,,https://zenodo.org/records/19163509,,public/reach/public-release-timeline.csv
PUB-0092,PUBLIC_RELEASE,2026-03-22,CF11: Dark Sector Emergence from Metriplectic Dynamics,10.5281/zenodo.19163437,zenodo,PUBLIC,,https://zenodo.org/records/19163437,,public/reach/public-release-timeline.csv
PUB-0093,PUBLIC_RELEASE,2026-03-22,"CF12: Derived Gravity, Black Holes, and Saturation Geometry",10.5281/zenodo.19163352,zenodo,PUBLIC,,https://zenodo.org/records/19163352,,public/reach/public-release-timeline.csv
PUB-0094,PUBLIC_RELEASE,2026-03-22,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",10.5281/zenodo.19163245,zenodo,PUBLIC,,https://zenodo.org/records/19163245,,public/reach/public-release-timeline.csv
PUB-0095,PUBLIC_RELEASE,2026-03-22,CF14: Principle of Stationary Action as Temporal Effective Invariant,10.5281/zenodo.19163200,zenodo,PUBLIC,,https://zenodo.org/records/19163200,,public/reach/public-release-timeline.csv
PUB-0096,PUBLIC_RELEASE,2026-03-22,CF15: Noether's Theorem as Invariant Articulation Cost,10.5281/zenodo.19163157,zenodo,PUBLIC,,https://zenodo.org/records/19163157,,public/reach/public-release-timeline.csv
PUB-0097,PUBLIC_RELEASE,2026-03-22,"CF16: Electroweak Fiber Splitting, Chiral Weak Coupling, Neutral Gauge Mixing, and Broken Gauge-Scalar Structure",10.5281/zenodo.19163139,zenodo,PUBLIC,,https://zenodo.org/records/19163139,,public/reach/public-release-timeline.csv
PUB-0098,PUBLIC_RELEASE,2026-03-22,"CF17: Non-Abelian Saturation, Flux-Tube Formation, Quantitative Confinement, String Breaking, and Deconfinement",10.5281/zenodo.19163117,zenodo,PUBLIC,,https://zenodo.org/records/19163117,,public/reach/public-release-timeline.csv
PUB-0099,PUBLIC_RELEASE,2026-03-22,"CF18: Scale Re-Articulation, Effective Action, Hidden-Return Corrections, Running Couplings, Renormalization, and Corrected Symmetry Structure",10.5281/zenodo.19163003,zenodo,PUBLIC,,https://zenodo.org/records/19163003,,public/reach/public-release-timeline.csv
PUB-0100,PUBLIC_RELEASE,2026-03-22,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,10.5281/zenodo.19158339,zenodo,PUBLIC,,https://zenodo.org/records/19158339,,public/reach/public-release-timeline.csv
PUB-0101,PUBLIC_RELEASE,2026-03-22,Void Dynamics Model Formula Catalogue,10.5281/zenodo.19158075,zenodo,PUBLIC,,https://zenodo.org/records/19158075,,public/reach/public-release-timeline.csv
PUB-0102,PUBLIC_RELEASE,2026-03-24,Farey Remainder Recursion and Orthogonal Re-Articulation: An Exact Infinity-Resolution Theorem,10.5281/zenodo.19210954,zenodo,PUBLIC,,https://zenodo.org/records/19210954,,public/reach/public-release-timeline.csv
PUB-0103,PUBLIC_RELEASE,2026-03-24,Universal Orthogonality Invariant: The Generative Nature of i,10.5281/zenodo.19211725,zenodo,PUBLIC,,https://zenodo.org/records/19211725,,public/reach/public-release-timeline.csv
PUB-0104,PUBLIC_RELEASE,2026-03-24,Universal Orthogonality Invariant: The Generative Nature of i,10.5281/zenodo.19210923,zenodo,PUBLIC,,https://zenodo.org/records/19210923,,public/reach/public-release-timeline.csv
PUB-0105,PUBLIC_RELEASE,2026-03-26,"The Full Lifted Object of the Primitive Roll: Exact Balanced-Window Evolution, True Return, π-Position, and the First Completion Bridge",10.5281/zenodo.19242223,zenodo,PUBLIC,,https://zenodo.org/records/19242223,,public/reach/public-release-timeline.csv
PUB-0106,PUBLIC_RELEASE,2026-03-27,CF19: The Full Lifted Object of the Primitive Roll and Exact Return to Lifted Origin,10.5281/zenodo.19267927,zenodo,PUBLIC,,https://zenodo.org/records/19267927,,public/reach/public-release-timeline.csv
PUB-0107,PUBLIC_RELEASE,2026-04-01,CF000: Primitive Distinguishability and Orthogonal Articulation,10.5281/zenodo.19380587,zenodo,PUBLIC,,https://zenodo.org/records/19380587,,public/reach/public-release-timeline.csv
PUB-0108,PUBLIC_RELEASE,2026-04-01,CF00: Induced Geometry and Emergent Dynamics,10.5281/zenodo.19380518,zenodo,PUBLIC,,https://zenodo.org/records/19380518,,public/reach/public-release-timeline.csv
PUB-0109,PUBLIC_RELEASE,2026-04-01,CF01: Quantum Geometric Tensor Decomposition to Metriplectic Brackets,10.5281/zenodo.19380435,zenodo,PUBLIC,,https://zenodo.org/records/19380435,,public/reach/public-release-timeline.csv
PUB-0110,PUBLIC_RELEASE,2026-04-01,CF02: Connecting Contact Geometry to Metriplectic Evolution,10.5281/zenodo.19380257,zenodo,PUBLIC,,https://zenodo.org/records/19380257,,public/reach/public-release-timeline.csv
PUB-0111,PUBLIC_RELEASE,2026-04-01,CF03: Logarithmic Scaling Theorem (Hierarchical Tachyonic Interfaces),10.5281/zenodo.19380133,zenodo,PUBLIC,,https://zenodo.org/records/19380133,,public/reach/public-release-timeline.csv
PUB-0112,PUBLIC_RELEASE,2026-04-01,CF04: Telegraph-Fisher Causality (Finite-Speed Transport),10.5281/zenodo.19380039,zenodo,PUBLIC,,https://zenodo.org/records/19380039,,public/reach/public-release-timeline.csv
PUB-0113,PUBLIC_RELEASE,2026-04-01,CF05: Integrability Closure (No Hidden Conserved Quantities),10.5281/zenodo.19379928,zenodo,PUBLIC,,https://zenodo.org/records/19379928,,public/reach/public-release-timeline.csv
PUB-0114,PUBLIC_RELEASE,2026-04-02,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for the M-Limb,10.5281/zenodo.19382911,zenodo,PUBLIC,,https://zenodo.org/records/19382911,,public/reach/public-release-timeline.csv
