source,identifier,title,date,views,unique_views,downloads,unique_downloads,human_ratio,stars,forks,url
zenodo,10.5281/zenodo.19613111,Counterfactual Echo Gain (CEG): Future-Aware Metriplectic Assistance Yields Gate-Certified Echo Improvement,2025-09-10,67,65,337,336,0.997,,,https://zenodo.org/records/19613111
zenodo,10.5281/zenodo.19601368,Neuroca-Inc/Cogito-Research: Zenodo Release v0.2,2026-04-16,11,10,2,2,1,,,https://zenodo.org/records/19601368
zenodo,10.5281/zenodo.19576940,Phase Transitions and Metastable Regimes in Real-Time Cognitive Connectomes,2026-02-21,62,57,96,90,0.938,,,https://zenodo.org/records/19576940
zenodo,10.5281/zenodo.19570959,Four Independent Complex-Adaptive Signatures From A Structurally-Plastic Connectome Run,2026-02-20,106,91,136,121,0.89,,,https://zenodo.org/records/19570959
zenodo,10.5281/zenodo.19570286,Causal Density Dynamics and Markov Entropy in Artificial Cognition,2026-02-21,62,58,102,97,0.951,,,https://zenodo.org/records/19570286
zenodo,10.5281/zenodo.19569960,"Integration–Segregation Balance in Zero-Training Cognitive Regimes: Total Correlation, O-information, and MIP Structure",2026-02-21,57,54,219,214,0.977,,,https://zenodo.org/records/19569960
zenodo,10.5281/zenodo.19568270,Emergent Criticality and Avalanche Scaling in Non-Trained Cognitive Firing Patterns,2026-02-21,75,68,230,221,0.961,,,https://zenodo.org/records/19568270
zenodo,10.5281/zenodo.19567985,Complexity Metric Dashboards for Artificial Consciousness: A Multi-Measure Instrument for Real-Time Cognitive Runtimes,2026-02-21,67,60,110,101,0.918,,,https://zenodo.org/records/19567985
zenodo,10.5281/zenodo.19567850,Dynamic Phase-Space Signatures and Principal-Component Shifts Across Cognitive Regimes in a Zero-Training Runtime,2026-02-21,65,58,214,209,0.977,,,https://zenodo.org/records/19567850
zenodo,10.5281/zenodo.19564798,Predictive Feature Architectures For Self-Supervised Say-Events in VDM,2026-02-19,65,60,133,128,0.962,,,https://zenodo.org/records/19564798
zenodo,10.5281/zenodo.19561401,"Void Dynamics Model (VDM) — Canon, Instruments, and Nexus Architecture",2026-04-14,26,25,0,0,,,,https://zenodo.org/records/19561401
zenodo,10.5281/zenodo.19550387,DRAFT Advanced Non-Scalar Paradigms for Evaluating Large Language Model Efficacy,2026-04-13,68,46,4,4,1,,,https://zenodo.org/records/19550387
zenodo,10.5281/zenodo.19550101,justinlietz93/primitive_bifurcation_law_VDM: Zenodo Release,2026-04-13,19,18,3,3,1,,,https://zenodo.org/records/19550101
zenodo,10.5281/zenodo.19550007,"Void Dynamics Model (VDM) — Canon, Instruments, and Nexus Architecture",2026-04-13,17,14,0,0,,,,https://zenodo.org/records/19550007
zenodo,10.5281/zenodo.19521030,DRAFT Operational Utility and Multiscale Invariance of Phase Calculus: A Discrete Foundational Grammar for Dynamics,2026-04-12,78,73,56,51,0.911,,,https://zenodo.org/records/19521030
zenodo,10.5281/zenodo.19491529,Phase Calculus - Lifted-State Operator Calculus of the Primitive Roll with Connection Closure and Shadow/Completion Branch,2026-04-10,91,79,148,135,0.912,,,https://zenodo.org/records/19491529
zenodo,10.5281/zenodo.19449044,Phase Calculus - Lifted-State Operator Calculus of the Primitive Roll with Connection Closure and Shadow/Completion Branch,2026-04-07,16,16,28,28,1,,,https://zenodo.org/records/19449044
zenodo,10.5281/zenodo.19447474,Phase Calculus - Lifted-State Operator Calculus of the Primitive Roll with Connection Closure and Shadow/Completion Branch,2026-04-06,16,16,14,13,0.929,,,https://zenodo.org/records/19447474
zenodo,10.5281/zenodo.19446535,Phase Calculus - Lifted-State Operator Calculus of the Primitive Roll with Connection Closure and Shadow/Completion Branch,2026-04-07,19,18,19,18,0.947,,,https://zenodo.org/records/19446535
zenodo,10.5281/zenodo.19382911,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for the M-Limb,2026-04-02,43,36,49,41,0.837,,,https://zenodo.org/records/19382911
zenodo,10.5281/zenodo.19382899,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for the M-Limb,2026-04-02,11,11,10,10,1,,,https://zenodo.org/records/19382899
zenodo,10.5281/zenodo.19164028,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for the M-Limb,2026-03-22,18,18,18,18,1,,,https://zenodo.org/records/19164028
zenodo,10.5281/zenodo.19380587,CF000: Primitive Distinguishability and Orthogonal Articulation,2026-04-01,92,89,64,60,0.938,,,https://zenodo.org/records/19380587
zenodo,10.5281/zenodo.19380518,CF00: Induced Geometry and Emergent Dynamics,2026-04-01,44,43,27,27,1,,,https://zenodo.org/records/19380518
zenodo,10.5281/zenodo.19380435,CF01: Quantum Geometric Tensor Decomposition to Metriplectic Brackets,2026-04-01,31,31,27,27,1,,,https://zenodo.org/records/19380435
zenodo,10.5281/zenodo.19380257,CF02: Connecting Contact Geometry to Metriplectic Evolution,2026-04-01,25,25,26,26,1,,,https://zenodo.org/records/19380257
zenodo,10.5281/zenodo.19380133,CF03: Logarithmic Scaling Theorem (Hierarchical Tachyonic Interfaces),2026-04-01,61,60,43,41,0.953,,,https://zenodo.org/records/19380133
zenodo,10.5281/zenodo.19380039,CF04: Telegraph-Fisher Causality (Finite-Speed Transport),2026-04-01,43,39,38,35,0.921,,,https://zenodo.org/records/19380039
zenodo,10.5281/zenodo.19379928,CF05: Integrability Closure (No Hidden Conserved Quantities),2026-04-01,47,45,36,35,0.972,,,https://zenodo.org/records/19379928
zenodo,10.5281/zenodo.19267927,CF19: The Full Lifted Object of the Primitive Roll and Exact Return to Lifted Origin,2026-03-27,68,65,63,58,0.921,,,https://zenodo.org/records/19267927
zenodo,10.5281/zenodo.19242223,"The Full Lifted Object of the Primitive Roll: Exact Balanced-Window Evolution, True Return, π-Position, and the First Completion Bridge",2026-03-26,25,25,21,21,1,,,https://zenodo.org/records/19242223
zenodo,10.5281/zenodo.19211725,Universal Orthogonality Invariant: The Generative Nature of i,2026-03-24,59,56,58,55,0.948,,,https://zenodo.org/records/19211725
zenodo,10.5281/zenodo.19210954,Farey Remainder Recursion and Orthogonal Re-Articulation: An Exact Infinity-Resolution Theorem,2026-03-24,85,78,54,49,0.907,,,https://zenodo.org/records/19210954
zenodo,10.5281/zenodo.19210923,Universal Orthogonality Invariant: The Generative Nature of i,2026-03-24,19,19,18,18,1,,,https://zenodo.org/records/19210923
zenodo,10.5281/zenodo.19163352,"CF12: Derived Gravity, Black Holes, and Saturation Geometry",2026-03-22,46,41,58,49,0.845,,,https://zenodo.org/records/19163352
zenodo,10.5281/zenodo.19163944,CF07: Measurement Theory Foundations - Decoherence and Born Rule Emergence,2026-03-22,48,48,35,34,0.971,,,https://zenodo.org/records/19163944
zenodo,10.5281/zenodo.19163918,CF08: Spinor Emergence via Domain-Wall Fermions (Nielsen-Ninomiya Defense),2026-03-22,38,38,36,36,1,,,https://zenodo.org/records/19163918
zenodo,10.5281/zenodo.19163873,CF09: Gauge Field Emergence via Berry Connection (Weinberg-Witten Defense),2026-03-22,28,27,27,26,0.963,,,https://zenodo.org/records/19163873
zenodo,10.5281/zenodo.19163509,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-03-22,35,34,35,32,0.914,,,https://zenodo.org/records/19163509
zenodo,10.5281/zenodo.19163437,CF11: Dark Sector Emergence from Metriplectic Dynamics,2026-03-22,35,34,46,45,0.978,,,https://zenodo.org/records/19163437
zenodo,10.5281/zenodo.19163245,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",2026-03-22,34,34,35,34,0.971,,,https://zenodo.org/records/19163245
zenodo,10.5281/zenodo.19163200,CF14: Principle of Stationary Action as Temporal Effective Invariant,2026-03-22,33,33,40,40,1,,,https://zenodo.org/records/19163200
zenodo,10.5281/zenodo.19163157,CF15: Noether's Theorem as Invariant Articulation Cost,2026-03-22,32,31,26,24,0.923,,,https://zenodo.org/records/19163157
zenodo,10.5281/zenodo.19163139,"CF16: Electroweak Fiber Splitting, Chiral Weak Coupling, Neutral Gauge Mixing, and Broken Gauge-Scalar Structure",2026-03-22,36,35,32,31,0.969,,,https://zenodo.org/records/19163139
zenodo,10.5281/zenodo.19163117,"CF17: Non-Abelian Saturation, Flux-Tube Formation, Quantitative Confinement, String Breaking, and Deconfinement",2026-03-22,30,30,36,35,0.972,,,https://zenodo.org/records/19163117
zenodo,10.5281/zenodo.19163003,"CF18: Scale Re-Articulation, Effective Action, Hidden-Return Corrections, Running Couplings, Renormalization, and Corrected Symmetry Structure",2026-03-22,35,33,41,38,0.927,,,https://zenodo.org/records/19163003
zenodo,10.5281/zenodo.19158339,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,2026-03-22,30,29,48,44,0.917,,,https://zenodo.org/records/19158339
zenodo,10.5281/zenodo.19158075,Void Dynamics Model Formula Catalogue,2026-03-22,29,28,21,19,0.905,,,https://zenodo.org/records/19158075
zenodo,10.5281/zenodo.19155667,The Lietz Infinity Resolution Conjecture: Logarithmic Hierarchical Interfaces as the Tachyonic Pulled-Front Re-Expression of the Primitive Invariant,2025-11-02,90,87,45,42,0.933,,,https://zenodo.org/records/19155667
zenodo,10.5281/zenodo.19155030,Theoretical Foundations for the Adaptive Modular Network,2025-01-08,26,26,20,19,0.95,,,https://zenodo.org/records/19155030
zenodo,10.5281/zenodo.19155003,Self Improvement Engine Stability Analysis Framework,2025-04-02,28,28,20,20,1,,,https://zenodo.org/records/19155003
zenodo,10.5281/zenodo.19154453,"CF18: Scale Re-Articulation, Effective Action, Hidden-Return Corrections, Running Couplings, Renormalization, and Corrected Symmetry Structure",2026-03-21,33,32,26,25,0.962,,,https://zenodo.org/records/19154453
zenodo,10.5281/zenodo.19154343,"CF17: Non-Abelian Saturation, Flux-Tube Formation, Quantitative Confinement, String Breaking, and Deconfinement",2026-03-21,19,19,14,14,1,,,https://zenodo.org/records/19154343
zenodo,10.5281/zenodo.19153908,"CF16: Electroweak Fiber Splitting, Chiral Weak Coupling, Neutral Gauge Mixing, and Broken Gauge-Scalar Structure",2026-03-21,23,23,20,20,1,,,https://zenodo.org/records/19153908
zenodo,10.5281/zenodo.19139375,CF15: Noether's Theorem as Invariant Articulation Cost,2026-03-20,22,22,15,15,1,,,https://zenodo.org/records/19139375
zenodo,10.5281/zenodo.19133897,CF14: Principle of Stationary Action as Temporal Effective Invariant,2026-03-20,31,31,27,27,1,,,https://zenodo.org/records/19133897
zenodo,10.5281/zenodo.19130313,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,2026-03-20,32,31,21,21,1,,,https://zenodo.org/records/19130313
zenodo,10.5281/zenodo.19130228,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,2026-03-20,18,18,12,12,1,,,https://zenodo.org/records/19130228
zenodo,10.5281/zenodo.19129390,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,2026-03-19,9,9,6,6,1,,,https://zenodo.org/records/19129390
zenodo,10.5281/zenodo.19128685,Universal Axiom of Primitive Bifurcation and Orthogonal Articulation,2026-03-20,11,11,7,7,1,,,https://zenodo.org/records/19128685
zenodo,10.5281/zenodo.19124751,CF08: Spinor Emergence via Domain-Wall Fermions,2026-03-19,14,14,13,12,0.923,,,https://zenodo.org/records/19124751
zenodo,10.5281/zenodo.19124587,CF00: Induced Geometry and Emergent Dynamics,2026-03-19,25,25,18,17,0.944,,,https://zenodo.org/records/19124587
zenodo,10.5281/zenodo.19124533,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",2026-03-19,27,27,21,20,0.952,,,https://zenodo.org/records/19124533
zenodo,10.5281/zenodo.19122763,CF08: Spinor Emergence via Domain-Wall Fermions,2026-03-19,12,12,9,9,1,,,https://zenodo.org/records/19122763
zenodo,10.5281/zenodo.19121368,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",2026-03-19,13,13,10,10,1,,,https://zenodo.org/records/19121368
zenodo,10.5281/zenodo.19121111,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",2026-03-19,13,13,8,8,1,,,https://zenodo.org/records/19121111
zenodo,10.5281/zenodo.19120806,CF00: Induced Geometry and Emergent Dynamics,2026-03-19,9,9,7,7,1,,,https://zenodo.org/records/19120806
zenodo,10.5281/zenodo.19120322,"CF13 - π, Transcendence, Chirality, and the Nielsen-Ninomia Obstruction",2026-03-19,15,15,9,9,1,,,https://zenodo.org/records/19120322
zenodo,10.5281/zenodo.19103452,"CF12: Gravity, Black Holes, and Saturation Geometry",2026-03-19,20,18,12,10,0.833,,,https://zenodo.org/records/19103452
zenodo,10.5281/zenodo.19102730,CF01: Complete Formalism - Quantum Geometric Tensor to Metriplectic Brackets,2026-03-18,13,13,8,7,0.875,,,https://zenodo.org/records/19102730
zenodo,10.5281/zenodo.19099916,Induced Geometry and Emergent Dynamics,2026-03-18,15,15,8,7,0.875,,,https://zenodo.org/records/19099916
zenodo,10.5281/zenodo.19098778,CF000: Primitive Distinguishability and Orthogonal Articulation,2026-03-18,38,33,37,28,0.757,,,https://zenodo.org/records/19098778
zenodo,10.5281/zenodo.19097453,Primitive Distinguishability and the Origin of Differentiability,2026-03-18,17,17,13,12,0.923,,,https://zenodo.org/records/19097453
zenodo,10.5281/zenodo.19097305,Primitive Distinguishability and the Origin of Differentiability,2026-03-18,38,35,23,19,0.826,,,https://zenodo.org/records/19097305
zenodo,10.5281/zenodo.19043188,DRAFT Convergent Anomalous Signatures in an Emergent Zero-Trained Cognitive Runtime,2026-03-16,61,57,67,59,0.881,,,https://zenodo.org/records/19043188
zenodo,10.5281/zenodo.19010844,Branch Relative Origin Resolution,2026-03-14,85,83,46,43,0.935,,,https://zenodo.org/records/19010844
zenodo,10.5281/zenodo.19009927,"H000: Primitive Bifurcation As A Minimal Generative Origin For Distinguishability, Hierarchy, And Carrier Emergence",2026-03-13,81,79,44,40,0.909,,,https://zenodo.org/records/19009927
zenodo,10.5281/zenodo.18897151,Void Lensing Cross-Correlation Meter v1: Synthetic Mocks Calibration and Mocks-Grid Tuning,2026-03-07,35,32,40,39,0.975,,,https://zenodo.org/records/18897151
zenodo,10.5281/zenodo.18895523,VDM Cosmogenesis Runtime (v9),2026-03-06,28,28,0,0,,,,https://zenodo.org/records/18895523
zenodo,10.5281/zenodo.18749264,Aura - Embodied VDM,2026-02-23,12,12,2,2,1,,,https://zenodo.org/records/18749264
zenodo,10.5281/zenodo.18726601,Causal Density Dynamics and Markov Entropy in Artificial Cognition,2026-02-21,63,60,38,32,0.842,,,https://zenodo.org/records/18726601
zenodo,10.5281/zenodo.18726328,Phase Transitions and Metastable Regimes in Real-Time Cognitive Connectomes,2026-02-21,48,48,42,35,0.833,,,https://zenodo.org/records/18726328
zenodo,10.5281/zenodo.18725951,"Integration–Segregation Balance in Zero-Training Cognitive Regimes: Total Correlation, O-information, and MIP Structure",2026-02-21,33,33,27,25,0.926,,,https://zenodo.org/records/18725951
zenodo,10.5281/zenodo.18725612,Emergent Criticality and Avalanche Scaling in Non-Trained Cognitive Firing Patterns,2026-02-21,50,49,37,35,0.946,,,https://zenodo.org/records/18725612
zenodo,10.5281/zenodo.18724646,Complexity Metric Dashboards for Artificial Consciousness: A Multi-Measure Instrument for Real-Time Cognitive Runtimes,2026-02-21,58,57,29,28,0.966,,,https://zenodo.org/records/18724646
zenodo,10.5281/zenodo.18723892,Dynamic Phase-Space Signatures and Principal-Component Shifts Across Cognitive Regimes in a Zero-Training Runtime,2026-02-21,36,34,37,31,0.838,,,https://zenodo.org/records/18723892
zenodo,10.5281/zenodo.18707220,Predictive Feature Architectures For Self-Supervised Say-Events in VDM,2026-02-20,35,33,18,15,0.833,,,https://zenodo.org/records/18707220
zenodo,10.5281/zenodo.18706821,Four Independent Complex-Adaptive Signatures From A Structurally-Plastic Connectome Run,2026-02-19,80,75,64,53,0.828,,,https://zenodo.org/records/18706821
zenodo,10.5281/zenodo.18702788,VDM Runtime Results: Four Offline Proofs From A Structurally-Plastic Connectome Run,2026-02-19,29,26,30,27,0.9,,,https://zenodo.org/records/18702788
zenodo,10.5281/zenodo.18676468,CF11: Dark Sector Emergence from Metriplectic Dynamics,2026-02-17,24,23,24,21,0.875,,,https://zenodo.org/records/18676468
zenodo,10.5281/zenodo.18676423,"CF10: VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-02-17,25,23,20,19,0.95,,,https://zenodo.org/records/18676423
zenodo,10.5281/zenodo.18676231,CF09: Gauge Field Emergence via Berry Connection in VDM,2026-02-17,24,21,30,27,0.9,,,https://zenodo.org/records/18676231
zenodo,10.5281/zenodo.18676137,CF08: Spinor Emergence via Domain-Wall Fermions in VDM,2026-02-17,21,19,19,17,0.895,,,https://zenodo.org/records/18676137
zenodo,10.5281/zenodo.18676091,CF07: Measurement Theory Foundations — Decoherence and Born Rule for VDM,2026-02-17,34,33,18,18,1,,,https://zenodo.org/records/18676091
zenodo,10.5281/zenodo.18675861,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for VDM M-Limb,2026-02-17,28,26,24,20,0.833,,,https://zenodo.org/records/18675861
zenodo,10.5281/zenodo.18675786,CF05: Complete Formalism — Integrability Closure (No Hidden Conserved Quantities),2026-02-17,30,25,27,23,0.852,,,https://zenodo.org/records/18675786
zenodo,10.5281/zenodo.18675565,CF04: Complete Formalism — Telegraph-Fisher Causality (Finite-Speed Transport),2026-02-17,36,35,18,15,0.833,,,https://zenodo.org/records/18675565
zenodo,10.5281/zenodo.18675407,CF03: Complete Formalism — A8 Scaling Theorem (Hierarchical Tachyonic Interfaces),2026-02-17,41,37,19,14,0.737,,,https://zenodo.org/records/18675407
zenodo,10.5281/zenodo.18675381,CF04: Complete Formalism — Telegraph-Fisher Causality (Finite-Speed Transport),2026-02-17,16,14,9,7,0.778,,,https://zenodo.org/records/18675381
zenodo,10.5281/zenodo.18675323,CF11: Dark Sector Emergence from Metriplectic Dynamics,2026-02-17,19,18,8,8,1,,,https://zenodo.org/records/18675323
zenodo,10.5281/zenodo.18675311,"CF10: Complete Formalism — VDM Lattice Hydrodynamics, Continuum Limit, and Regularity Program",2026-02-17,18,17,6,5,0.833,,,https://zenodo.org/records/18675311
zenodo,10.5281/zenodo.18675301,CF09: Complete Formalism — Gauge Field Emergence via Berry Connection in VDM,2026-02-17,11,10,6,6,1,,,https://zenodo.org/records/18675301
zenodo,10.5281/zenodo.18675290,CF08: Complete Formalism — Spinor Emergence via Domain-Wall Fermions in VDM,2026-02-17,21,20,6,5,0.833,,,https://zenodo.org/records/18675290
zenodo,10.5281/zenodo.18675276,CF07: Measurement Theory Foundations — Decoherence and Born Rule for VDM,2026-02-17,24,23,8,8,1,,,https://zenodo.org/records/18675276
zenodo,10.5281/zenodo.18675267,CF06: Information Geometry Foundations — Fisher and Ruppeiner Metrics for VDM M-Limb,2026-02-17,26,25,10,9,0.9,,,https://zenodo.org/records/18675267
zenodo,10.5281/zenodo.18675256,CF05: Complete Formalism — Integrability Closure (No Hidden Conserved Quantities),2026-02-17,22,22,11,11,1,,,https://zenodo.org/records/18675256
zenodo,10.5281/zenodo.18675239,CF04: Complete Formalism — Telegraph-Fisher Causality (Finite-Speed Transport),2026-02-17,26,25,13,12,0.923,,,https://zenodo.org/records/18675239
zenodo,10.5281/zenodo.18675227,CF03: Complete Formalism — A8 Scaling Theorem (Hierarchical Tachyonic Interfaces),2026-02-17,20,19,7,6,0.857,,,https://zenodo.org/records/18675227
zenodo,10.5281/zenodo.18675169,CF02: Contact to Metriplectic Evolution,2026-02-17,27,23,19,15,0.789,,,https://zenodo.org/records/18675169
zenodo,10.5281/zenodo.18675122,CF01: Complete Formalism - Quantum Geometric Tensor to Metriplectic Brackets,2026-02-17,43,39,25,21,0.84,,,https://zenodo.org/records/18675122
zenodo,10.5281/zenodo.18607800,Data Analysis on Early Run Logs of The Void Dynamics Model Runtime,2026-02-11,25,25,7,7,1,,,https://zenodo.org/records/18607800
zenodo,10.5281/zenodo.17701735,Packaged Release - VDM Unification Roadmap: From Quantum Waves to Cosmology,2025-11-24,15,15,0,0,,,,https://zenodo.org/records/17701735
zenodo,10.5281/zenodo.17697113,Packaged Release - VDM Unification Roadmap: From Quantum Waves to Cosmology,2025-11-24,19,15,3,3,1,,,https://zenodo.org/records/17697113
zenodo,10.5281/zenodo.17567396,Counterfactual Echo Gain (CEG): Future-Aware Metriplectic Assistance Yields Gate-Certified Echo Improvement,2025-11-10,230,210,750,700,0.933,,,https://zenodo.org/records/17567396
zenodo,10.5281/zenodo.17525916,Counterfactual Echo Gain (CEG): A Metriplectic Assisted-Echo Experiment Proposal in VDM,2025-11-04,33,29,72,66,0.917,,,https://zenodo.org/records/17525916
zenodo,10.5281/zenodo.17508502,The Lietz Infinity Resolution Conjecture: Hierarchical Scale-Breaking in Tachyonic Metriplectic Systems,2025-11-01,162,155,159,139,0.874,,,https://zenodo.org/records/17508502
zenodo,10.5281/zenodo.17508148,The Lietz Infinity Resolution Conjecture: Hierarchical Scale-Breaking in Tachyonic Metriplectic Systems,2025-11-01,25,25,15,15,1,,,https://zenodo.org/records/17508148
zenodo,10.5281/zenodo.17503344,The Lietz Infinity Resolution Conjecture: Hierarchical Scale-Breaking in Tachyonic Metriplectic Systems,2025-11-01,53,48,55,46,0.836,,,https://zenodo.org/records/17503344
zenodo,10.5281/zenodo.17497855,Packaged Release of a T8 A8 Proposal for the Void Dynamics Model,2025-11-01,40,37,11,11,1,,,https://zenodo.org/records/17497855
